ts_utc,strategy,event,symbol,dir,price,notional,pnl_usd,pnl_pct,why,opened_ts
2026-08-01T04:15:38.074235,S2_short,open,floki,-1,2.07e-05,240.00,,,s1,2026-08-01T04:15:38.073449
2026-08-01T04:15:39.795280,S2_short,open,mog,-1,9.73e-08,239.98,,,s1,2026-08-01T04:15:39.795126
2026-08-01T04:15:45.169766,S2_short,open,elon,-1,2.874e-08,239.96,,,s1,2026-08-01T04:15:45.169634
2026-08-02T00:00:30.034786,S1_trend_breakout,open,wif,-1,0.1356,240.00,,,,2026-08-02T00:00:30.034703
2026-08-02T00:00:47.446987,S2_short,open,wif,-1,0.1356,241.22,,,s1,2026-08-02T00:00:47.446862
2026-08-02T08:00:48.809685,S2_short,close,mog,-1,9.94e-08,,-5.1794,-0.021583,s1,2026-08-01T04:15:39.795126
2026-08-03T00:00:29.743723,S1_trend_breakout,close,wif,-1,0.1394,,-6.7257,-0.028024,离场,2026-08-02T00:00:30.034703
2026-08-03T00:00:46.487377,S2_short,close,wif,-1,0.1394,,-6.7598,-0.028024,s1,2026-08-02T00:00:47.446862
2026-08-03T08:00:53.041654,S2_short,open,baby,-1,0.01078,239.17,,,s1,2026-08-03T08:00:53.041554
2026-08-04T08:00:45.880588,S2_short,close,floki,-1,2.053e-05,,1.9710,0.008213,s1,2026-08-01T04:15:38.073449
2026-08-04T08:00:52.671412,S2_short,close,elon,-1,2.834e-08,,3.3397,0.013918,s1,2026-08-01T04:15:45.169634
